C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_406.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_406.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_406.jpg,0,0,0,40.5053,-38.0806,1.675187,107.8161
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_488.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_488.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_488.jpg,0,0,0,40.1785,-39.22792,1.676177,106.9438
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_570.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_570.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_570.jpg,0,0,0,39.85476,-40.36601,1.676921,106.0785
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_652.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_652.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_652.jpg,0,0,0,39.53355,-41.49495,1.677495,105.2203
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_736.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_736.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_736.jpg,0,0,0,39.21522,-42.6148,1.677866,104.3689
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_821.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_821.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_821.jpg,0,0,0,38.89944,-43.72564,1.678159,103.5244
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_903.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_903.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_903.jpg,0,0,0,38.50831,-45.10162,1.678565,102.4783
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_43_983.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_43_983.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_43_983.jpg,0,0,0,38.19824,-46.19243,1.678916,101.6491
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_066.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_066.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_066.jpg,0,0,0,37.89066,-47.27446,1.679276,100.8265
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_147.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_147.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_147.jpg,0,0,0,37.58556,-48.34778,1.679636,100.0105
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_231.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_231.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_231.jpg,0,0,0,37.28292,-49.41245,1.679994,99.2011
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_314.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_314.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_314.jpg,0,0,0,36.98272,-50.46854,1.680349,98.3982
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_397.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_397.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_397.jpg,0,0,0,36.68492,-51.51613,1.680701,97.60177
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_480.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_480.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_480.jpg,0,0,0,36.38953,-52.55528,1.68105,96.81174
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_562.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_562.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_562.jpg,0,0,0,36.09652,-53.58606,1.681396,96.02808
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_645.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_645.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_645.jpg,0,0,0,35.73388,-54.86286,1.681718,95.05736
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_729.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_729.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_729.jpg,0,0.2515873,0,35.63786,-55.87786,1.681759,94.28568
C:\EE4C16-self-driving-lab-master\data\IMG\center_2018_10_31_11_16_44_813.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\left_2018_10_31_11_16_44_813.jpg,C:\EE4C16-self-driving-lab-master\data\IMG\right_2018_10_31_11_16_44_813.jpg,0,0,0,35.40412,-56.88889,1.681698,93.51699
